Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1666975283.3212502,0,60083,0,GPS1_Frame,42.34527666666666,-71.08162666666666,18.7,328536.16645877715,4690211.624889614,19,T,1
1666975284.3211136,0,60084,0,GPS1_Frame,42.34527833333333,-71.08161166666667,18.9,328537.40659287374,4690211.779708684,19,T,1
1666975285.3197894,0,60085,0,GPS1_Frame,42.34528,-71.08158499999999,18.8,328539.6077513787,4690211.910999188,19,T,1
1666975286.317328,0,60086,0,GPS1_Frame,42.34527333333334,-71.08155166666667,18.8,328542.3354115549,4690211.103491709,19,T,1
1666975287.3200986,0,60087,0,GPS1_Frame,42.34525833333334,-71.08151500000001,18.9,328545.3149961575,4690209.363909161,19,T,1
1666975288.317477,0,60088,0,GPS1_Frame,42.34523833333333,-71.081475,19.0,328548.55556827714,4690207.062393462,19,T,1
1666975289.3177783,0,60089,0,GPS1_Frame,42.34521333333334,-71.08143833333334,19.2,328551.5079715494,4690204.212389025,19,T,1
1666975290.3174217,0,60090,0,GPS1_Frame,42.34518833333333,-71.08139833333333,19.3,328554.73495606205,4690201.35566402,19,T,1
1666975291.3187513,0,60091,0,GPS1_Frame,42.34515833333333,-71.08136166666667,20.2,328557.6737725391,4690197.95045004,19,T,1
1666975292.3187778,0,60092,0,GPS1_Frame,42.345130000000005,-71.08132166666665,21.1,328560.8917015074,4690194.723586521,19,T,1
1666975293.3169813,0,60093,0,GPS1_Frame,42.3451,-71.08128,21.7,328564.2423926674,4690191.30829306,19,T,1
1666975294.3181703,0,60094,0,GPS1_Frame,42.34507166666667,-71.081235,22.4,328567.8721967636,4690188.071350725,19,T,1
1666975295.3171544,0,60095,0,GPS1_Frame,42.34504333333333,-71.08119333333335,23.0,328571.2274247777,4690184.841131595,19,T,1
1666975296.3230274,0,60096,0,GPS1_Frame,42.345018333333336,-71.08115166666667,23.7,328574.5917161411,4690181.98105571,19,T,1
1666975297.321187,0,60097,0,GPS1_Frame,42.344991666666665,-71.08111333333333,24.1,328577.6769005612,4690178.942631724,19,T,1
1666975298.3188539,0,60098,0,GPS1_Frame,42.34495833333334,-71.081075,23.4,328580.7439679244,4690175.1639261395,19,T,1
1666975299.3192296,0,60099,0,GPS1_Frame,42.344924999999996,-71.08103666666666,22.8,328583.8110386798,4690171.38522201,19,T,1
1666975300.3181765,0,60100,0,GPS1_Frame,42.34489833333334,-71.081005,23.0,328586.34707174613,4690168.360243581,19,T,1
1666975301.3207355,0,60101,0,GPS1_Frame,42.344881666666666,-71.08098833333334,23.9,328587.6746746635,4690166.4759330815,19,T,1
1666975302.3187332,0,60102,0,GPS1_Frame,42.34487166666666,-71.08098,24.2,328588.3339466739,4690165.348707175,19,T,1
1666975303.3203437,0,60103,0,GPS1_Frame,42.34486333333333,-71.08097166666667,24.2,328588.9977486137,4690164.406552101,19,T,1
1666975304.3218105,0,60104,0,GPS1_Frame,42.344848333333324,-71.08096166666665,23.8,328589.7807221353,4690162.720753825,19,T,1
1666975305.3185732,0,60105,0,GPS1_Frame,42.34483,-71.08094166666666,23.3,328591.3783778524,4690160.644652887,19,T,1
1666975306.3209872,0,60106,0,GPS1_Frame,42.34480833333334,-71.080915,22.8,328593.51613628666,4690158.184970182,19,T,1
1666975307.3194525,0,60107,0,GPS1_Frame,42.34478333333333,-71.08088833333333,22.8,328595.6448372161,4690155.35514667,19,T,1
1666975308.321289,0,60108,0,GPS1_Frame,42.344755,-71.08085833333332,22.0,328598.03906170174,4690152.148462223,19,T,1
1666975309.3205242,0,60109,0,GPS1_Frame,42.34472666666667,-71.080825,21.5,328600.70786926546,4690148.935058648,19,T,1
1666975310.3197596,0,60110,0,GPS1_Frame,42.344703333333335,-71.08079333333333,20.8,328603.25297677447,4690146.2802283885,19,T,1
1666975311.320023,0,60111,0,GPS1_Frame,42.344680000000004,-71.080765,20.3,328605.52350521897,4690143.632118944,19,T,1
1666975312.3196888,0,60112,0,GPS1_Frame,42.344656666666666,-71.08073166666667,19.9,328608.2059071029,4690140.973930704,19,T,1
1666975313.319689,0,60113,0,GPS1_Frame,42.34462833333334,-71.08069166666668,19.6,328611.42388625967,4690137.747092116,19,T,1
1666975314.3221982,0,60114,0,GPS1_Frame,42.34459666666667,-71.08064666666668,19.4,328615.04468251776,4690134.140034435,19,T,1
1666975315.320688,0,60115,0,GPS1_Frame,42.34456166666667,-71.08059666666666,19.3,328619.06829709973,4690130.152758331,19,T,1
1666975316.325997,0,60116,0,GPS1_Frame,42.34452666666666,-71.080545,19.1,328623.22920714976,4690126.162125135,19,T,1
1666975317.321827,0,60117,0,GPS1_Frame,42.34449166666666,-71.080495,19.0,328627.2528310609,4690122.1748540485,19,T,1
1666975318.3208919,0,60118,0,GPS1_Frame,42.34445833333333,-71.08044666666666,19.0,328631.14369713515,4690118.376015565,19,T,1
